2, 3648, Note_on_c, 0, 69, 0
2, 3648, Note_on_c, 0, 53, 0
2, 3648, Note_on_c, 0, 53, 45
2, 3648, Note_on_c, 0, 46, 48
2, 3648, Note_on_c, 0, 62, 47
2, 3648, Note_on_c, 0, 65, 56
2, 3744, Note_on_c, 0, 53, 0
2, 3744, Note_on_c, 0, 46, 0
2, 3744, Note_on_c, 0, 62, 0
2, 3744, Note_on_c, 0, 65, 0
2, 3744, Note_on_c, 0, 53, 46
2, 3744, Note_on_c, 0, 48, 40
2, 3744, Note_on_c, 0, 69, 65
2, 3744, Note_on_c, 0, 60, 40
2, 3936, Note_on_c, 0, 53, 0
2, 3936, Note_on_c, 0, 48, 0
2, 3936, Note_on_c, 0, 69, 0
2, 3936, Note_on_c, 0, 60, 0
2, 3936, Note_on_c, 0, 70, 65
2, 3936, Note_on_c, 0, 53, 50
2, 3936, Note_on_c, 0, 50, 41
2, 3936, Note_on_c, 0, 58, 42
2, 4032, Note_on_c, 0, 70, 0
2, 4032, Note_on_c, 0, 53, 0
2, 4032, Note_on_c, 0, 50, 0
2, 4032, Note_on_c, 0, 58, 0
2, 4032, Note_on_c, 0, 48, 45
2, 4032, Note_on_c, 0, 53, 43
2, 4032, Note_on_c, 0, 60, 49
2, 4032, Note_on_c, 0, 69, 64
2, 4176, Note_on_c, 0, 69, 0
2, 4176, Note_on_c, 0, 67, 61
2, 4224, Note_on_c, 0, 48, 0
2, 4224, Note_on_c, 0, 53, 0
2, 4224, Note_on_c, 0, 60, 0
2, 4224, Note_on_c, 0, 67, 0
2, 4224, Note_on_c, 0, 53, 41
2, 4224, Note_on_c, 0, 46, 40
2, 4224, Note_on_c, 0, 62, 49
2, 4224, Note_on_c, 0, 65, 57
2, 4320, Note_on_c, 0, 53, 0
2, 4320, Note_on_c, 0, 46, 0
2, 4320, Note_on_c, 0, 62, 0
2, 4320, Note_on_c, 0, 65, 0
2, 4320, Note_on_c, 0, 53, 45
2, 4320, Note_on_c, 0, 48, 50
2, 4320, Note_on_c, 0, 69, 58
2, 4320, Note_on_c, 0, 60, 41
2, 4512, Note_on_c, 0, 53, 0
